year,make,fuel_type,number
2023,NISSAN,Electric,57
2023,NOBLE,Petrol,1
2023,OPEL,Petrol,2403
2023,OPEL,Diesel,495
2023,OPEL,Electric,178
2023,PAGANI,Petrol,4
2023,PANTHER,Petrol,8
2023,PERODUA,Petrol,629
2023,PEUGEOT,Petrol,3220
2023,PEUGEOT,Diesel,585
2023,PEUGEOT,Electric,154
2023,POLESTAR,Electric,269
2023,PONTIAC,Petrol,2
2023,PORSCHE,Petrol,7944
2023,PORSCHE,Diesel,193
2023,PORSCHE,Petrol-Electric,133
2023,PORSCHE,Petrol-Electric (Plug-In),62
2023,PORSCHE,Electric,448
2023,PROTON,Petrol,450
2023,RAMBLER,Petrol,1
2023,RANGE ROVER,Petrol,1
2023,RANGE ROVER,Diesel,1
2023,RANGE ROVER,Petrol-Electric (Plug-In),1
2023,RENAULT,Petrol,525
2023,RENAULT,Diesel,3050
2023,RENAULT,Petrol-Electric,3
2023,RENAULT,Electric,13
2023,RILEY,Petrol,4
2023,ROLLS ROYCE,Petrol,762
2023,ROVER,Petrol,12
2023,RUF,Petrol,5
2023,RUGBY,Petrol,1
2023,SAAB,Petrol,66
2023,SEAT,Petrol,1244
2023,SEAT,Diesel,53
2023,SEAT,Petrol-Electric,39
2023,SINGER,Petrol,5
2023,SKODA,Petrol,2660
2023,SKODA,Diesel,5
2023,SKODA,Petrol-Electric,268
2023,SKODA,Electric,2
2023,SMART,Petrol,7
2023,SMART,Electric,8
2023,SSANGYONG,Petrol,591
2023,SSANGYONG,Diesel,994
2023,SSANGYONG,Petrol-CNG,1
2023,STANDARD,Petrol,2
2023,STUTZ,Petrol,1
2023,SUBARU,Petrol,14523
2023,SUBARU,Petrol-Electric,212
2023,SUNBEAM,Petrol,6
2023,SUZUKI,Petrol,4448
2023,SUZUKI,Petrol-Electric,773
2023,SWIFT,Petrol,2
2023,TALBOT,Petrol,1
2023,TD CARS,Petrol,6
2023,TESLA,Electric,2780
2023,THE LONDON TAXI CO,Diesel,1
2023,TOYOTA,Petrol,108042
2023,TOYOTA,Diesel,72
2023,TOYOTA,Petrol-Electric,35062
2023,TOYOTA,Petrol-Electric (Plug-In),27
2023,TOYOTA,Petrol-CNG,11
2023,TOYOTA,Electric,50
2023,TRIUMPH,Petrol,44
2023,V.W. PROSHE,Petrol,1
2023,VALIANT,Petrol,1
2023,VELOREX,Petrol,1
2023,VOLKSWAGEN,Petrol,20025
2023,VOLKSWAGEN,Diesel,419
2023,VOLKSWAGEN,Petrol-Electric,419
2023,VOLKSWAGEN,Electric,12
2023,VOLVO,Petrol,7679
2023,VOLVO,Diesel,957
2023,VOLVO,Petrol-Electric,546
2023,VOLVO,Petrol-Electric (Plug-In),109
2023,VOLVO,Electric,222
2023,WOLSELEY,Petrol,2
2023,WULING,Petrol,
2023,ZOTYE,Petrol,3
2024,ALFA ROMEO,Petrol,459
2024,ALFA ROMEO,Petrol-Electric,8
2024,ALPINA,Petrol,48
2024,ALPINA,Diesel,18
2024,ALPINE,Petrol,48
2024,ALVIS,Petrol,2
2024,ARMSTRONG SIDDELEY,Petrol,1
2024,ASTON MARTIN,Petrol,304
2024,AUDI,Petrol,17332
2024,AUDI,Diesel,15
2024,AUDI,Petrol-Electric,3399
2024,AUDI,Petrol-Electric (Plug-In),27
2024,AUDI,Electric,360
2024,AUDI,Diesel-Electric,4
2024,AUSTIN,Petrol,157
2024,AUSTIN,Diesel,1
2024,B.M.A.,Petrol,1
2024,B.M.W.,Petrol,42997
2024,B.M.W.,Diesel,4495
2024,B.M.W.,Petrol-Electric,2754
2024,B.M.W.,Petrol-Electric (Plug-In),509
2024,B.M.W.,Electric,3061
2024,B.M.W.,Diesel-Electric,1
2024,B.S.A.,Petrol,1
2024,BENTLEY,Petrol,1011
2024,BENTLEY,Diesel,19
2024,BENTLEY,Petrol-Electric (Plug-In),6
2024,BERTONE,Petrol,1
2024,BINZ,Petrol,1
2024,BLUECAR,Electric,692
2024,BUICK,Petrol,4
2024,BYD,Electric,8567
2024,CADILLAC,Petrol,3
2024,CATERHAM,Petrol,1
2024,CHALMERS,Petrol,1
2024,CHERY,Petrol,23
2024,CHERY,Petrol-Electric (Plug-In),3
2024,CHERY,Electric,113
2024,CHEVROLET,Petrol,1535
2024,CHRYSLER,Petrol,27
2024,CHRYSLER,Diesel,5
2024,CITROEN,Petrol,2130
2024,CITROEN,Diesel,1528
2024,CITROEN,Electric,99
2024,CITROEN,Diesel-Electric,2
2024,DAIHATSU,Petrol,345
2024,DAIMLER,Petrol,21
2024,DATSUN,Petrol,36
2024,DE-LOREAN,Petrol,1
2024,DODGE,Petrol,1
2024,DONGFENG,Petrol,2
2024,DONGFENG,Electric,22
2024,ESSEX,Petrol,1
2024,FERRARI,Petrol,914
2024,FERRARI,Petrol-Electric (Plug-In),77
2024,FIAT,Petrol,138
2024,FIAT,Diesel,3
2024,FIAT,Electric,5
2024,FORD,Petrol,1133
2024,FORD,Diesel,61
2024,FORD,Electric,1
2024,FRAZER,Petrol,2
2024,GAC,Electric,310
2024,GEELY,Petrol,2
2024,GREAT WALL,Electric,201
2024,HAFEI,Petrol,1
2024,HILLMAN,Petrol,3
2024,HOLDEN,Petrol,1
2024,HONDA,Petrol,84770
2024,HONDA,Petrol-Electric,18246
2024,HONDA,Petrol-CNG,2
2024,HONDA,Electric,43
2024,HUMMER,Petrol,22
2024,HYUNDAI,Petrol,28123
2024,HYUNDAI,Diesel,101
2024,HYUNDAI,Petrol-Electric,3118
2024,HYUNDAI,Petrol-CNG,
2024,HYUNDAI,Electric,1898
2024,INFINITI,Petrol,1049
2024,INFINITI,Diesel,201
2024,INFINITI,Petrol-Electric,2
2024,INTERNATIONAL,Petrol,1
2024,ITALDESIGN-GIUGIARO SPA,Petrol,1
2024,JAGUAR,Petrol,2305
2024,JAGUAR,Diesel,476
2024,JAGUAR,Petrol-Electric,106
2024,JAGUAR,Electric,51
2024,JEEP,Petrol,377
2024,JEEP,Diesel,7
2024,JEEP,Petrol-Electric (Plug-In),1
2024,JENSEN,Petrol,1
2024,KIA,Petrol,17996
2024,KIA,Diesel,2441
2024,KIA,Petrol-Electric,3624
2024,KIA,Petrol-CNG,
2024,KIA,Electric,119
2024,KOENIGSEGG,Petrol,3
2024,LAGONDA,Petrol,2
2024,LAMBORGHINI,Petrol,473
2024,LAMBORGHINI,Petrol-Electric (Plug-In),7
2024,LANCIA,Petrol,9
2024,LAND ROVER,Petrol,1559
2024,LAND ROVER,Diesel,540
2024,LAND ROVER,Petrol-Electric,883
2024,LAND ROVER,Petrol-Electric (Plug-In),30
2024,LAND ROVER,Diesel-Electric,2
2024,LEA - FRANCIS,Petrol,1
2024,LEYLAND,Petrol,3
2024,LINCOLN,Petrol,1
2024,LOTUS,Petrol,152
2024,LOTUS,Electric,12
2024,M.G.,Petrol,993
2024,M.G.,Petrol-Electric (Plug-In),3
2024,M.G.,Electric,1029
2024,MARCOS,Petrol,1
2024,MASERATI,Petrol,1031
2024,MASERATI,Diesel,61
2024,MASERATI,Petrol-Electric,173
2024,MAXUS,Petrol,50
2024,MAXUS,Electric,98
2024,MAXWELL,Petrol,1
2024,MAYBACH,Petrol,3
2024,MAZDA,Petrol,31815
2024,MAZDA,Diesel,71
2024,MAZDA,Petrol-Electric,5347
2024,MAZDA,Petrol-Electric (Plug-In),1
2024,MAZDA,Electric,19
2024,MCLAREN,Petrol,197
2024,MCLAREN,Petrol-Electric (Plug-In),6
2024,MERCEDES BENZ,Petrol,63654
2024,MERCEDES BENZ,Diesel,985
2024,MERCEDES BENZ,Petrol-Electric,10710
2024,MERCEDES BENZ,Petrol-Electric (Plug-In),601
2024,MERCEDES BENZ,Petrol-CNG,63
2024,MERCEDES BENZ,Electric,1322
2024,MERCEDES BENZ,Diesel-Electric,4
2024,MERCEDES BENZ,Diesel-Electric (Plug-In),1
2024,MERCURY,Petrol,2
2024,MG-F,Petrol,1
2024,MINI,Petrol,4555
2024,MINI,Diesel,22
2024,MINI,Petrol-Electric,17
2024,MINI,Electric,190
2024,MINI MAYFAIR,Petrol,5
2024,MINI MOTOR,Petrol,1
2024,MITSUBISHI,Petrol,17372
2024,MITSUBISHI,Petrol-Electric (Plug-In),4
2024,MITSUOKA,Petrol,50
2024,MORGAN,Petrol,25
2024,MORRIS,Petrol,95
2024,NETA,Electric,2
2024,NISSAN,Petrol,25609
2024,NISSAN,Diesel,29
2024,NISSAN,Petrol-Electric,6337
2024,NISSAN,Electric,67
2024,NOBLE,Petrol,1
2024,OPEL,Petrol,2385
2024,OPEL,Diesel,472
2024,OPEL,Electric,216
2024,PAGANI,Petrol,4
2024,PANTHER,Petrol,9
2024,PERODUA,Petrol,513
2024,PEUGEOT,Petrol,3269
2024,PEUGEOT,Diesel,464
2024,PEUGEOT,Electric,213
2024,POLESTAR,Electric,408
2024,PONTIAC,Petrol,2
2024,PORSCHE,Petrol,8278
2024,PORSCHE,Diesel,161
2024,PORSCHE,Petrol-Electric,132
2024,PORSCHE,Petrol-Electric (Plug-In),69
2024,PORSCHE,Electric,672
2024,PROTON,Petrol,311
2024,RAMBLER,Petrol,1
2024,RANGE ROVER,Petrol,2
2024,RANGE ROVER,Diesel,1
2024,RANGE ROVER,Petrol-Electric (Plug-In),1
2024,RENAULT,Petrol,509
2024,RENAULT,Diesel,2952
2024,RENAULT,Petrol-Electric,3
2024,RENAULT,Electric,13
2024,RILEY,Petrol,4
2024,ROLLS ROYCE,Petrol,756
2024,ROLLS ROYCE,Electric,13
2024,ROVER,Petrol,12
2024,RUF,Petrol,5
2024,RUGBY,Petrol,1
2024,SAAB,Petrol,64
2024,SEAT,Petrol,1243
2024,SEAT,Diesel,52
2024,SEAT,Petrol-Electric,39
2024,SERES,Electric,1
2024,SINGER,Petrol,5
2024,SKODA,Petrol,2748
2024,SKODA,Diesel,5
2024,SKODA,Petrol-Electric,490
2024,SKODA,Electric,40
2024,SMART,Petrol,7
2024,SMART,Electric,49
2024,SSANGYONG,Petrol,585
2024,SSANGYONG,Diesel,1005
2024,SSANGYONG,Petrol-CNG,1
2024,STANDARD,Petrol,2
2024,STUTZ,Petrol,1
2024,SUBARU,Petrol,13836
2024,SUBARU,Petrol-Electric,621
2024,SUNBEAM,Petrol,6
2024,SUZUKI,Petrol,3861
2024,SUZUKI,Petrol-Electric,962
2024,SWIFT,Petrol,2
2024,TALBOT,Petrol,1
2024,TD CARS,Petrol,6
2024,TESLA,Electric,5163
2024,THE LONDON TAXI CO,Diesel,
2024,TOYOTA,Petrol,100281
2024,TOYOTA,Diesel,71
2024,TOYOTA,Petrol-Electric,40948
2024,TOYOTA,Petrol-Electric (Plug-In),45
2024,TOYOTA,Petrol-CNG,8
2024,TOYOTA,Electric,94
2024,TRIUMPH,Petrol,45
2024,V.W. PROSHE,Petrol,1
2024,VALIANT,Petrol,1
2024,VELOREX,Petrol,1
2024,VOLKSWAGEN,Petrol,18664
2024,VOLKSWAGEN,Diesel,295
2024,VOLKSWAGEN,Petrol-Electric,797
2024,VOLKSWAGEN,Petrol-Electric (Plug-In),1
2024,VOLKSWAGEN,Electric,200
2024,VOLVO,Petrol,7366
2024,VOLVO,Diesel,568
2024,VOLVO,Petrol-Electric,720
2024,VOLVO,Petrol-Electric (Plug-In),173
2024,VOLVO,Electric,541
2024,WOLSELEY,Petrol,2
2024,WULING,Petrol,
2024,XPENG,Electric,336
2024,ZEEKR,Electric,99
2024,ZOTYE,Petrol,1
